Date,AQI,Category,Risk_Level
2016-04-27 15:00:00,300.0,Very Unhealthy,High
2016-04-27 16:00:00,300.0,Very Unhealthy,High
2016-04-27 18:00:00,300.0,Very Unhealthy,High
2016-04-27 19:00:00,300.0,Very Unhealthy,High
2016-04-27 20:00:00,300.0,Very Unhealthy,High
2016-04-27 21:00:00,300.0,Very Unhealthy,High
2016-04-29 10:00:00,300.0,Very Unhealthy,High
2016-04-29 12:00:00,300.0,Very Unhealthy,High
2016-05-03 12:00:00,300.0,Very Unhealthy,High
2016-06-13 11:00:00,300.0,Very Unhealthy,High
2016-06-13 22:00:00,300.0,Very Unhealthy,High
2016-06-21 16:00:00,300.0,Very Unhealthy,High
2016-06-24 10:45:00,300.0,Very Unhealthy,High
2016-06-24 23:00:00,300.0,Very Unhealthy,High
2016-06-25 10:00:00,300.0,Very Unhealthy,High
2016-07-27 00:00:00,300.0,Very Unhealthy,High
2016-07-28 15:00:00,300.0,Very Unhealthy,High
2016-09-07 12:00:00,300.0,Very Unhealthy,High
2016-09-07 15:00:00,300.0,Very Unhealthy,High
2016-09-08 20:00:00,300.0,Very Unhealthy,High
2016-09-12 14:00:00,300.0,Very Unhealthy,High
2016-10-28 16:00:00,300.0,Very Unhealthy,High
2016-10-28 16:00:00,300.0,Very Unhealthy,High
2016-11-09 16:30:00,186.0,Unhealthy,High
2016-11-09 16:30:00,186.0,Unhealthy,High
2016-11-09 16:30:00,160.0,Unhealthy,High
2016-11-09 16:30:00,162.0,Unhealthy,High
2016-11-14 19:00:00,300.0,Very Unhealthy,High
2016-11-18 21:00:00,300.0,Very Unhealthy,High
2016-11-24 00:00:00,300.0,Very Unhealthy,High
2016-11-29 01:00:00,300.0,Very Unhealthy,High
2016-11-29 11:00:00,300.0,Very Unhealthy,High
2016-12-01 20:00:00,300.0,Very Unhealthy,High
2016-12-02 12:00:00,300.0,Very Unhealthy,High
2016-12-02 13:00:00,300.0,Very Unhealthy,High
2016-12-03 06:00:00,300.0,Very Unhealthy,High
2016-12-04 18:00:00,300.0,Very Unhealthy,High
2016-12-05 00:00:00,300.0,Very Unhealthy,High
2016-12-05 00:00:00,300.0,Very Unhealthy,High
2016-12-05 01:00:00,300.0,Very Unhealthy,High
2016-12-05 01:00:00,300.0,Very Unhealthy,High
2016-12-05 01:00:00,300.0,Very Unhealthy,High
2016-12-05 01:00:00,300.0,Very Unhealthy,High
2016-12-05 01:00:00,300.0,Very Unhealthy,High
2016-12-05 17:00:00,300.0,Very Unhealthy,High
2016-12-06 17:00:00,300.0,Very Unhealthy,High
2016-12-11 11:00:00,300.0,Very Unhealthy,High
2016-12-11 18:00:00,300.0,Very Unhealthy,High
2016-12-12 06:00:00,300.0,Very Unhealthy,High
2016-12-12 07:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
