Hour,Hour_Num,Pollutant,Value,AQI,Category
00:00,0,BC,3.32,,N/A
01:00,1,BC,3.71,,N/A
02:00,2,BC,2.54,,N/A
03:00,3,BC,2.45,,N/A
04:00,4,BC,2.15,,N/A
05:00,5,BC,2.15,,N/A
06:00,6,BC,3.1,,N/A
07:00,7,BC,4.33,,N/A
08:00,8,BC,4.15,,N/A
09:00,9,BC,4.23,,N/A
10:00,10,BC,3.08,,N/A
11:00,11,BC,3.72,,N/A
12:00,12,BC,3.63,,N/A
13:00,13,BC,3.21,,N/A
14:00,14,BC,3.19,,N/A
15:00,15,BC,3.19,,N/A
16:00,16,BC,3.27,,N/A
17:00,17,BC,4.1,,N/A
18:00,18,BC,4.04,,N/A
19:00,19,BC,3.94,,N/A
20:00,20,BC,3.48,,N/A
21:00,21,BC,3.16,,N/A
22:00,22,BC,3.26,,N/A
23:00,23,BC,3.31,,N/A
00:00,0,CO,0.18,,N/A
01:00,1,CO,0.2,,N/A
02:00,2,CO,0.13,,N/A
03:00,3,CO,0.13,,N/A
04:00,4,CO,0.13,,N/A
05:00,5,CO,0.15,,N/A
06:00,6,CO,0.21,,N/A
07:00,7,CO,0.24,,N/A
08:00,8,CO,0.22,,N/A
09:00,9,CO,0.25,,N/A
10:00,10,CO,0.2,,N/A
11:00,11,CO,0.21,,N/A
12:00,12,CO,0.19,,N/A
13:00,13,CO,0.18,,N/A
14:00,14,CO,0.21,,N/A
15:00,15,CO,0.19,,N/A
16:00,16,CO,0.2,,N/A
17:00,17,CO,0.23,,N/A
18:00,18,CO,0.22,,N/A
19:00,19,CO,0.25,,N/A
20:00,20,CO,0.21,,N/A
21:00,21,CO,0.22,,N/A
22:00,22,CO,0.2,,N/A
23:00,23,CO,0.22,,N/A
00:00,0,NO,0.0,,N/A
01:00,1,NO,0.0,,N/A
02:00,2,NO,0.0,,N/A
03:00,3,NO,0.0,,N/A
04:00,4,NO,0.0,,N/A
05:00,5,NO,0.0,,N/A
06:00,6,NO,0.0,,N/A
07:00,7,NO,0.0,,N/A
08:00,8,NO,0.0,,N/A
09:00,9,NO,0.0,,N/A
10:00,10,NO,0.0,,N/A
11:00,11,NO,0.0,,N/A
12:00,12,NO,0.0,,N/A
13:00,13,NO,0.0,,N/A
14:00,14,NO,0.0,,N/A
15:00,15,NO,0.0,,N/A
16:00,16,NO,0.0,,N/A
17:00,17,NO,0.0,,N/A
18:00,18,NO,0.0,,N/A
19:00,19,NO,0.0,,N/A
20:00,20,NO,0.0,,N/A
21:00,21,NO,0.0,,N/A
22:00,22,NO,0.0,,N/A
23:00,23,NO,0.0,,N/A
00:00,0,NO2,0.01,,N/A
01:00,1,NO2,0.01,,N/A
02:00,2,NO2,0.01,,N/A
03:00,3,NO2,0.01,,N/A
04:00,4,NO2,0.01,,N/A
05:00,5,NO2,0.01,,N/A
06:00,6,NO2,0.01,,N/A
07:00,7,NO2,0.01,,N/A
08:00,8,NO2,0.01,,N/A
09:00,9,NO2,0.01,,N/A
10:00,10,NO2,0.01,,N/A
11:00,11,NO2,0.01,,N/A
12:00,12,NO2,0.01,,N/A
13:00,13,NO2,0.01,,N/A
14:00,14,NO2,0.01,,N/A
15:00,15,NO2,0.01,,N/A
16:00,16,NO2,0.01,,N/A
17:00,17,NO2,0.01,,N/A
18:00,18,NO2,0.01,,N/A
19:00,19,NO2,0.01,,N/A
